"","subj","er","RE"
"1","BUL",2.09232376718404,2.75674998785835
"2","ELT",3.78841725961538,5.3591682801478
"3","GRU",2.33497260780303,3.01018381116208
"4","KOK",2.58894134856631,3.12129947920955
"5","KOS",2.16479648671742,2.98450069557582
"6","KOZ",1.68371822764771,1.78503023341153
"7","POG",2.60082697709642,3.20481482972428
"8","ROM",1.87240289311506,2.27685713156124
"9","SHE",2.43870021683861,3.24319111918683
