times,mu_N1_er_low,mu_N1_er_mid,mu_N1_er_high,mu_N1_RE_low,mu_N1_RE_mid,mu_N1_RE_high
204,-0.393021,-0.1912639,-0.1686583,-0.1931162,-0.07435301,0.1279221
208,-0.3431461,-0.200943,-0.1548749,-0.2093389,-0.07028652,0.1337199
212,-0.3195706,-0.2105649,-0.1557635,-0.2371219,-0.07526664,0.1104988
216,-0.3377118,-0.2089885,-0.1697531,-0.2603323,-0.08921226,0.07972686
220,-0.3944247,-0.1984475,-0.1871744,-0.2556336,-0.1016648,0.06371707
224,-0.4694458,-0.1894327,-0.1952821,-0.2120166,-0.098735,0.0710274
228,-0.5385812,-0.188905,-0.1861701,-0.1475609,-0.07520099,0.0958275
232,-0.5862457,-0.1934519,-0.1604683,-0.1027917,-0.0399202,0.1283978
236,-0.6082653,-0.1934466,-0.1245044,-0.1114218,-0.008911316,0.1637352
240,-0.6065523,-0.1833569,-0.08537637,-0.173439,0.007591552,0.200495
244,-0.5838577,-0.1677818,-0.04931832,-0.2559907,0.01219132,0.2354752
248,-0.5437669,-0.1575603,-0.02307332,-0.3217026,0.01570802,0.2637944
252,-0.4934309,-0.1601213,-0.01319159,-0.3576508,0.02640959,0.2860848
256,-0.443182,-0.1733561,-0.02100634,-0.3785333,0.04362594,0.3124326
260,-0.4014737,-0.1882071,-0.03858579,-0.4041558,0.06068465,0.353805
264,-0.3698636,-0.1966367,-0.05310361,-0.4363029,0.07255828,0.4063323
268,-0.3434563,-0.1972159,-0.05885605,-0.4581279,0.07993244,0.4458317
272,-0.3165871,-0.1940154,-0.06551607,-0.4538396,0.08640629,0.4435015
276,-0.2880811,-0.1914148,-0.0913732,-0.4255432,0.09306595,0.3924237
280,-0.2611883,-0.1905895,-0.1441965,-0.3893538,0.09677316,0.3200954
284,-0.2392167,-0.1902653,-0.2069426,-0.3569557,0.09371941,0.2717221
288,-0.2223074,-0.1892298,-0.2443658,-0.3245836,0.08396308,0.2755389
292,-0.2089733,-0.1869023,-0.2282287,-0.2820024,0.0720508,0.3194458
296,-0.2002555,-0.1817346,-0.1601384,-0.2304589,0.06339557,0.3593589
300,-0.2011753,-0.1706123,-0.07118998,-0.187854,0.06034764,0.3519093
304,-0.2170445,-0.151374,0.001781624,-0.1737353,0.06148272,0.2839537
308,-0.2479198,-0.1262096,0.04191611,-0.1898457,0.06376857,0.1769712
312,-0.2868938,-0.1014692,0.05744613,-0.2179651,0.06461696,0.06805801
316,-0.3244319,-0.08267221,0.06416313,-0.2386494,0.06195493,-0.01303344
320,-0.3551068,-0.06912888,0.06485714,-0.2516941,0.05335921,-0.05430379
324,-0.3806525,-0.05408257,0.04684973,-0.2765153,0.03633351,-0.05880485
328,-0.4065744,-0.03122258,-0.0007194074,-0.3312005,0.01004195,-0.03846825
332,-0.4353702,-0.001647185,-0.068442,-0.4110651,-0.02328293,-0.01019291
336,-0.4624065,0.02590752,-0.1265451,-0.4883656,-0.05892077,0.00881081
340,-0.4781335,0.04255166,-0.1443543,-0.5338149,-0.09186307,0.009597142
344,-0.4748339,0.04762615,-0.1119354,-0.5394075,-0.1187734,-0.001420945
348,-0.4521313,0.04980477,-0.04552068,-0.5220107,-0.1384557,-0.006650633
352,-0.4163539,0.05945624,0.02582829,-0.5067691,-0.1512532,0.006309039
356,-0.3739862,0.0791098,0.07890061,-0.5075837,-0.1584763,0.02958645
360,-0.3248631,0.1006651,0.1054438,-0.5214306,-0.1621272,0.03759538
364,-0.2618138,0.1116208,0.1084862,-0.5373483,-0.1643538,0.008484257
368,-0.1785069,0.104392,0.09420764,-0.5475627,-0.166542,-0.05366085
372,-0.07969403,0.08067767,0.06815831,-0.5499777,-0.1689598,-0.1172092
376,0.01557658,0.04825857,0.03617837,-0.5431797,-0.1716872,-0.1453368
380,0.08263963,0.0145431,0.004505923,-0.5227579,-0.1760274,-0.1234069
384,0.1065485,-0.01705723,-0.02344658,-0.4839472,-0.1845511,-0.06777012
388,0.09190024,-0.04599043,-0.04975825,-0.4268889,-0.1990282,-0.009842468
392,0.0584261,-0.07168481,-0.07935631,-0.3579158,-0.2178541,0.02850947
396,0.02555494,-0.09265715,-0.1134876,-0.2855175,-0.2355495,0.04681982
400,-0.0009252517,-0.1080012,-0.1463927,-0.215654,-0.2452071,0.05832756
404,-0.02882874,-0.1186437,-0.1698708,-0.1508075,-0.2420808,0.07410856
408,-0.0674153,-0.1263736,-0.1816675,-0.09207129,-0.2256888,0.09469839
412,-0.1156936,-0.1316944,-0.1882426,-0.04062526,-0.1995743,0.1140962
416,-0.1625528,-0.133133,-0.1974394,0.002726919,-0.1699778,0.1283917
420,-0.1975293,-0.1289426,-0.2075177,0.03784226,-0.1446451,0.1390591
424,-0.2201047,-0.119381,-0.204285,0.06382205,-0.1312656,0.1487659
428,-0.2376911,-0.1071704,-0.1712389,0.07791145,-0.1344416,0.1553476
432,-0.2553999,-0.09577076,-0.1047832,0.07750732,-0.1521439,0.1501822
436,-0.2700079,-0.08723725,-0.02047437,0.0639382,-0.1750031,0.1224359
440,-0.2756075,-0.08142264,0.05644198,0.0429136,-0.1908177,0.06646181
444,-0.2745347,-0.07659893,0.1086621,0.01948628,-0.1920374,-0.01145526
448,-0.2799983,-0.07041869,0.137436,-0.007314744,-0.1801255,-0.09068052
452,-0.3050403,-0.06063594,0.1573906,-0.04299206,-0.1624496,-0.1415893
456,-0.3479428,-0.04600124,0.1811518,-0.08935674,-0.1441399,-0.1394033
460,-0.3900323,-0.02753654,0.2080514,-0.1386165,-0.1227383,-0.08040503
464,-0.4100608,-0.009165892,0.2263896,-0.1781723,-0.09140547,0.01136526
468,-0.4015145,0.003639319,0.2256044,-0.20304,-0.04809865,0.09538087
472,-0.3750661,0.006898831,0.2061514,-0.222573,-0.00155412,0.1387511
476,-0.3436912,0.0005005099,0.1785867,-0.2520255,0.03284666,0.1356145
480,-0.306874,-0.01223497,0.1544562,-0.295241,0.04464355,0.1062835
484,-0.2521156,-0.02703135,0.1383009,-0.335572,0.03679333,0.07757817
488,-0.1737879,-0.03980307,0.1261869,-0.3448435,0.02247869,0.06208544
492,-0.08864769,-0.04546127,0.1091767,-0.3030703,0.01278301,0.05385879
496,-0.02585326,-0.03966076,0.0809461,-0.2160436,0.008643649,0.04191503
