times,mu_N1_er_low,mu_N1_er_mid,mu_N1_er_high,mu_N1_RE_low,mu_N1_RE_mid,mu_N1_RE_high
204,-0.5443393,-0.1542409,-0.3179614,0.04743949,-0.04516903,-0.3489575
208,-0.5415398,-0.1576933,-0.3058103,0.03897287,-0.04097189,-0.3522093
212,-0.5447246,-0.1621988,-0.3202217,0.01404041,-0.04322143,-0.4004597
216,-0.5592811,-0.1603539,-0.3402076,-0.02786303,-0.0491244,-0.4770393
220,-0.5968655,-0.1550448,-0.3360362,-0.06892947,-0.049732,-0.5418121
224,-0.6619717,-0.1544915,-0.287907,-0.08467264,-0.03599951,-0.5609755
228,-0.7389669,-0.1630905,-0.1993696,-0.06922161,-0.007023173,-0.5300911
232,-0.7948068,-0.1767259,-0.09390463,-0.04603721,0.02793322,-0.473107
236,-0.8000978,-0.1863872,0.001848025,-0.04954803,0.05621788,-0.421455
240,-0.7525558,-0.1860764,0.07282861,-0.09378295,0.07132053,-0.3920893
244,-0.681112,-0.1775621,0.1164562,-0.1585209,0.0765078,-0.3805373
248,-0.6241866,-0.1681916,0.1330845,-0.2063443,0.07994179,-0.3701835
252,-0.5992265,-0.1645518,0.119744,-0.2136674,0.08686455,-0.3468334
256,-0.5897885,-0.1679197,0.07513005,-0.1868143,0.09640461,-0.3073281
260,-0.5615116,-0.1748414,0.008740081,-0.1512848,0.1048915,-0.2591322
264,-0.4926049,-0.1811118,-0.05958353,-0.1286236,0.1108457,-0.2146446
268,-0.3920234,-0.1849413,-0.1131015,-0.1235981,0.1160006,-0.1845896
272,-0.2907983,-0.1869841,-0.1517612,-0.1292107,0.1219093,-0.1724622
276,-0.2167465,-0.1884402,-0.1899596,-0.1379329,0.1267421,-0.171543
280,-0.1762483,-0.1897772,-0.2379641,-0.1451126,0.1263496,-0.16719
284,-0.157255,-0.1909179,-0.2848258,-0.1442627,0.1185739,-0.1456952
288,-0.1463617,-0.1916203,-0.3015245,-0.1256215,0.106072,-0.1055992
292,-0.1411925,-0.1909269,-0.2640201,-0.08475451,0.09459719,-0.06282085
296,-0.1474271,-0.1864958,-0.1756426,-0.0330194,0.08856359,-0.0434292
300,-0.1670877,-0.1755302,-0.06774765,0.004342597,0.08826333,-0.06719818
304,-0.1926874,-0.1573321,0.02197989,0.005065999,0.09085639,-0.1333855
308,-0.2134787,-0.1350076,0.07338609,-0.03266001,0.09319083,-0.2194182
312,-0.2258957,-0.1138259,0.08951778,-0.0894134,0.09323062,-0.2935483
316,-0.2360005,-0.09698836,0.08333413,-0.1423664,0.08931845,-0.3324827
320,-0.2512043,-0.08284065,0.06285952,-0.1852621,0.07932687,-0.3326285
324,-0.2706393,-0.06681846,0.03040119,-0.2317976,0.06155694,-0.3093548
328,-0.2849417,-0.04674928,-0.006731911,-0.299724,0.03658685,-0.2864645
332,-0.2857542,-0.02621139,-0.03030308,-0.391033,0.007667948,-0.282324
336,-0.2746811,-0.01192543,-0.02056648,-0.4863681,-0.02125679,-0.2992906
340,-0.2621393,-0.006988451,0.02673689,-0.5577251,-0.04806498,-0.3216673
344,-0.2574081,-0.006454284,0.09375349,-0.5871629,-0.07292919,-0.3248493
348,-0.260282,-0.0001650814,0.1526319,-0.5760652,-0.09641521,-0.2928419
352,-0.2625434,0.01902721,0.1855947,-0.5402506,-0.1174856,-0.2339175
356,-0.2568472,0.04885173,0.1940999,-0.4983941,-0.1337038,-0.1813274
360,-0.2432416,0.07879038,0.1896564,-0.4636742,-0.1433852,-0.1739169
364,-0.2270347,0.09767428,0.1773892,-0.4419097,-0.1473238,-0.22742
368,-0.2116306,0.1008632,0.1498019,-0.4328002,-0.1484005,-0.3181365
372,-0.1951718,0.0912224,0.0962873,-0.4307969,-0.149789,-0.3945187
376,-0.1748454,0.07444958,0.01688508,-0.4262912,-0.1536873,-0.4109119
380,-0.1534631,0.05422981,-0.07493915,-0.4095066,-0.161335,-0.3584967
384,-0.1398915,0.03154881,-0.1628315,-0.3763169,-0.1732907,-0.2690779
388,-0.1415383,0.007280004,-0.2392836,-0.3316895,-0.1888689,-0.1889508
392,-0.1561946,-0.01613967,-0.3061127,-0.2872898,-0.2052397,-0.1445699
396,-0.1721394,-0.03621204,-0.3645484,-0.2542523,-0.2176883,-0.127758
400,-0.1775709,-0.05294347,-0.4075053,-0.2360368,-0.2214626,-0.1106209
